firstName,lastName,wiId,averageScore,minutesPlayed,role
Josef,Šural,82359,0.02,42,Forward
Christophe,Kerbrat,25943,38.69000000000001,3321,Defender
Mikel,Vesga Arruti,286963,9.219999999999999,806,Midfielder
Alfonso,Pedraza Sag,359847,32.66000000000001,2442,Midfielder
Memphis,Depay,118,74.28,2553,Forward
Andrey,Semenov,102629,0,0,Defender
Moussa Sidi Yaya,Dembélé,11152,20.819999999999997,2104,Midfielder
Yasir Gharsan,Al Shahrani,122940,2.62,270,Defender
Łukasz,Piszczek,14798,29.53,2733,Defender
Jonathan,Rodríguez Menéndez,6684,0.29,213,Midfielder
Florian,Lejeune,3523,38.45,2104,Defender
Nicolò,Cabras,545472,0,0,Goalkeeper
Marten,de Roon,625,31.739999999999995,2616,Midfielder
Benjamin,Vérité,499200,0,0,Midfielder
Gianluca,Gaudino,272280,0,14,Midfielder
Gonzalo Gerardo,Higuaín,3323,70.72000000000001,2908,Forward
Ibrahim,Sangaré,375001,10.38,1586,Midfielder
Kenny,Rocha Santos,453631,0,0,Midfielder
José Martín,Cáceres Silva,20460,15.620000000000001,2058,Defender
Stefan,Ilsanker,65027,16.31,1445,Midfielder
Loïc,Badiashile Mukinayi,353821,0,0,Goalkeeper
David,García Santana,4355,10.749999999999998,854,Defender
Rodney,Wallace Burns,59126,0,0,Midfielder
Martin,Kelly,7958,10.579999999999998,1196,Defender
Collin,Quaner,16436,32.82,1263,Forward
Gerrit,Holtmann,224896,13.190000000000001,881,Midfielder
Wendell,Nascimento Borges,40657,16.14,2172,Defender
Yann,Jouffre,26033,0.13999999999999999,277,Midfielder
Guido,Guerrieri,241675,0,0,Goalkeeper
Felipe Nicolás,Avenatti Dovillabichus,149848,1.8900000000000001,409,Forward
Gabriel,Fernández Arenas,3441,4.809999999999999,2338,Midfielder
Yoann ,Gourcuff,25406,8.859999999999998,414,Midfielder
José,Alonso Lara,472489,0.37,9,Midfielder
Lorenzo,Callegari,347198,0,0,Midfielder
Eiji,Kawashima,37896,0,0,Goalkeeper
Jordan,Marié,30427,7.12,1877,Midfielder
Oribe,Peralta Morones,112710,0,0,Forward
Christopher,Martins Pereira,216614,0.33,69,Midfielder
Rafael,Tolói,41034,39.24999999999999,2473,Defender
Steven,Zuber,49997,23.37,1697,Midfielder
Federico,Bernardeschi,246061,36.88,884,Midfielder
Ville Matti,Steinmann,221376,5.7700000000000005,599,Midfielder
Míchel,Macedo Rocha Machado,4238,7.42,2120,Defender
Francisco Román,Alarcón Suárez,3563,60.37999999999999,2158,Midfielder
Prince,Oniangué,26539,12.520000000000001,1114,Midfielder
Ederson,Santana de Moraes,71654,0,0,Goalkeeper
Rachid,Ghezzal,28117,19.650000000000002,980,Midfielder
Luiz Gustavo,Dias,14722,54.87999999999998,3047,Midfielder
Douglas,dos Santos Justino de Melo,143566,13.889999999999999,2378,Defender
Josha Mamadou,Karaboue Vagnomann,503185,0,0,Defender
Rafik,Zekhnini,361214,0,0,Forward
Brighton,Labeau,331913,0,13,Forward
Sebastián Carlos,Cristóforo Pepe,116170,2.22,266,Midfielder
Laurent,Depoitre,38377,17.570000000000004,1787,Forward
Manuel,De Luca,471300,0,0,Forward
Théo,Barbet,543527,0,0,Defender
Takashi,Inui,14836,44.800000000000004,2926,Midfielder
Adrian,Mariappa,8889,15.93,2209,Defender
Shaquell,Moore,259524,2.56,407,Defender
Camilo Andrés,Vargas Gil,91039,0,0,Goalkeeper
Bryan,Cristante,20404,46.5,2833,Midfielder
Francesc,Fàbregas i Soler,3350,24.71,2637,Midfielder
Filipe Luis,Kasmirski,3434,20.400000000000002,1827,Defender
Naomichi,Ueda,137661,0,0,Defender
Gianluca,Lapadula,115933,12.509999999999998,1461,Forward
Julien,Ielsch,26055,1.03,602,Defender
Julian,Draxler,14862,57.410000000000004,2197,Midfielder
Leonel,Moreira Ledezma,125510,0,0,Goalkeeper
Lovre,Kalinić,69353,0,0,Goalkeeper
Marc,Janko,70100,0.37,109,Forward
Karl-Johan,Johnsson,50771,0,0,Goalkeeper
Brandon,Thomas Llamas,247162,7.369999999999999,350,Forward
Julian,Schuster,14998,5.4,1305,Midfielder
Gideon,Jung,241966,23.36,2594,Defender
Jonás ,Ramalho Chimeno,3407,22.749999999999996,2297,Defender
Deian,Boldor,137143,1.37,90,Defender
Sam,McQueen,297733,0.86,127,Midfielder
Martín,Montoya Torralbo,3339,22.44,2152,Defender
Mario,Gómez García,14731,47.12,2654,Forward
Florent,Hadergjonaj,282550,7.48,1672,Defender
Diego,Hernández Barriuso ,520163,1.52,112,Midfielder
Jermain ,Defoe,8296,11.87,899,Forward
Reece,Oxford,340476,2.2800000000000002,464,Defender
Andreas,Isaksson,97,0,0,Goalkeeper
Georges Constant,Mandjeck,25503,8.08,972,Midfielder
Raphael,Framberger,224965,1.02,696,Defender
Johan Danon,Djourou-Gbadjere,7850,8.700000000000001,480,Defender
Robin,Olsen,50798,0,0,Goalkeeper
Victor,Nilsson Lindelöf,71703,18.750000000000004,1911,Defender
Cédric,Yamberé,215036,36.19,2835,Defender
Mike-Steven,Bähre,224877,0,0,Midfielder
Yerry Fernando,Mina González,256634,16.99,660,Defender
Karim,Achahbar,260001,0,0,Forward
Mathieu,Deplagne,25990,19.41,2437,Defender
Florian,Grillitsch,135561,26.919999999999998,1892,Midfielder
Benjamin,Pavard,340646,38.910000000000004,3600,Defender
Riccardo,Piscitelli,134475,0,0,Goalkeeper
Jonathan,Rivierez,26138,8.33,2058,Defender
Baïssama,Sankoh,25947,10.09,1515,Defender
Jan,Vertonghen,48,60.149999999999984,4104,Defender
Tomás Eduardo,Rincón Hernández,14903,16.269999999999992,3008,Midfielder
Emerson,Palmieri dos Santos,40787,8.200000000000001,286,Defender
Salomon Junior,Sambia,335763,22.19,1533,Midfielder
Ruben,Droehnle,372909,0,0,Defender
Ignacio,Gil de Pareja Vicent,293862,7.82,948,Forward
Gerard,Valentín Sancho,275497,1.32,152,Defender
Kenan,Karaman,165431,4.9,813,Forward
Jonathan,Bamba,276944,49.49,2570,Forward
